timestamp,source_ip,destination_ip,attack_type,is_attack,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean
2025-10-31 15:25:20.530262,192.168.1.31,10.0.0.18,BENIGN,False,80,117336801,21,17,1756,3184,42.10102847,0.323854065,3171264.892,5865656.95,7332054.313
2025-11-02 11:25:27.530262,192.168.1.19,10.0.0.11,BENIGN,False,53,786,2,2,64,96,203562.341,5089.058524,262.0,3.0,3.0
2025-11-01 21:57:12.530262,192.168.1.12,10.0.0.6,DDoS,True,80,454895,3,5,26,11601,25559.74456,17.586476,64985.0,8920.0,113714.0
2025-10-31 04:08:35.530262,192.168.1.41,10.0.0.19,DDoS,True,80,8033798,5,0,30,0,3.734223838,0.62237064,2008449.5,2008449.5,0.0
2025-11-02 08:49:45.530262,192.168.1.39,10.0.0.1,BENIGN,False,53,217,2,2,82,114,903225.8065,18433.17972,72.33333333,48.0,4.0
2025-10-31 19:38:25.530262,192.168.1.4,10.0.0.19,DDoS,True,80,11087676,4,0,24,0,2.164565415,0.360760902,3695892.0,3695892.0,0.0
2025-10-31 07:03:30.530262,192.168.1.6,10.0.0.3,DDoS,True,80,92591,3,6,26,11607,125638.561,97.20167187,11573.875,304.0,18513.0
2025-11-01 11:48:28.530262,192.168.1.6,10.0.0.12,DDoS,True,80,857555,3,5,26,11601,13558.31404,9.328847712,122507.8571,1670.0,214385.5
2025-10-31 01:49:57.530262,192.168.1.16,10.0.0.5,BENIGN,False,53,48321,1,1,53,117,3518.139111,41.3898719,48321.0,0.0,0.0
2025-11-02 11:55:02.530262,192.168.1.15,10.0.0.1,BENIGN,False,53,46217,1,1,52,98,3245.558993,43.27411991,46217.0,0.0,0.0
2025-11-02 08:51:41.530262,192.168.1.30,10.0.0.9,BENIGN,False,80,20371610,10,11,1595,6824,413.2712142,1.030846359,1018580.5,1156877.667,2033374.8
2025-10-31 22:12:13.530262,192.168.1.4,10.0.0.16,DDoS,True,80,80682037,8,4,56,11601,144.4807349,0.148731991,7334730.636,11300000.0,421221.0
2025-11-01 20:29:00.530262,192.168.1.8,10.0.0.4,DDoS,True,80,1731025,3,6,26,11601,6716.829624,5.199231669,216378.125,6516.5,346202.0
