Destination Port,count
80,128421
53,31956
443,13494
8080,510
123,371
22,352
137,278
389,275
88,186
21,174
465,152
139,106
3268,91
138,63
0,54
445,53
135,34
49666,23
844,19
274,18
247,18
883,18
626,18
672,17
4,17
797,17
197,17
10,16
789,16
419,16
572,16
638,16
100,16
900,16
5353,16
312,16
83,16
720,15
792,15
965,15
327,15
205,15
219,15
404,15
40,15
396,15
874,15
145,15
899,15
667,15
82,15
765,15
26,14
221,14
409,14
439,14
534,14
487,14
959,14
454,14
63,14
722,14
686,14
330,14
862,14
489,14
310,14
232,14
866,14
558,14
263,14
402,14
677,14
222,13
36,13
202,13
17,13
809,13
154,13
873,13
128,13
717,13
339,13
690,13
685,13
363,13
689,13
18,13
59,13
800,13
302,13
665,13
832,13
759,13
936,13
341,13
324,13
579,13
116,13
576,13
675,13
246,13
30,13
552,13
505,13
871,13
812,13
845,13
546,13
716,13
602,13
969,13
313,13
509,13
491,13
38,13
349,13
724,12
49671,12
216,12
97,12
499,12
372,12
680,12
200,12
854,12
848,12
288,12
209,12
934,12
278,12
620,12
380,12
895,12
242,12
32,12
723,12
834,12
568,12
933,12
819,12
331,12
771,12
130,12
91,12
852,12
417,12
886,12
175,12
658,12
406,12
484,12
283,12
379,12
472,12
619,12
428,12
574,12
547,12
817,12
471,12
65,12
613,12
750,12
692,12
388,12
663,12
700,12
826,12
715,12
273,11
836,11
143,11
820,11
927,11
478,11
561,11
492,11
928,11
916,11
603,11
631,11
416,11
308,11
270,11
843,11
607,11
61,11
930,11
913,11
656,11
48,11
398,11
556,11
577,11
325,11
127,11
744,11
229,11
953,11
113,11
946,11
172,11
140,11
872,11
366,11
589,11
554,11
449,11
922,11
691,11
879,11
956,11
429,11
795,11
75,11
907,11
440,11
726,11
952,11
326,11
868,11
975,11
266,11
751,11
849,11
286,11
945,11
178,11
650,11
694,11
23,11
267,11
790,11
540,11
230,11
666,11
164,11
359,11
227,11
6,11
835,11
441,11
596,11
857,11
758,11
599,11
671,11
711,11
502,11
84,11
103,11
629,11
683,11
796,11
387,11
254,11
159,11
427,11
802,11
303,11
114,10
318,10
43,10
639,10
917,10
415,10
477,10
960,10
189,10
163,10
430,10
618,10
81,10
982,10
971,10
748,10
296,10
31,10
701,10
271,10
463,10
68,10
729,10
482,10
134,10
166,10
755,10
828,10
264,10
58,10
5,10
783,10
612,10
256,10
12,10
122,10
804,10
206,10
730,10
926,10
289,10
173,10
99,10
661,10
633,10
192,10
897,10
13,10
301,10
277,10
119,10
115,10
695,10
967,10
823,10
614,10
121,10
869,10
549,10
481,10
557,10
511,10
77,10
943,10
112,10
25,10
457,10
42,10
448,10
615,10
194,10
563,10
860,10
168,10
305,10
364,10
395,10
580,10
948,10
597,10
588,10
423,10
438,10
573,10
136,10
648,10
993,10
875,10
56,10
981,10
566,10
361,10
488,10
397,10
348,10
225,10
769,10
335,10
707,10
652,10
435,10
856,10
940,10
213,10
141,10
710,10
518,9
117,9
258,9
550,9
870,9
236,9
391,9
565,9
646,9
569,9
861,9
49,9
144,9
785,9
961,9
536,9
